bu_naam;parkeren_pct;auto_pct;voet_pct;fiets_pct
Buitengebied ten oosten van Leek;0.04;0.49;0.26;0.20
Eenum;0.04;0.82;0.12;0.02
Buitenwoel;0.08;0.64;0.09;0.19
Drostinnewijk;0.00;0.84;0.08;0.08
Boerenstreek;0.02;0.79;0.01;0.18
Bebouwde kom Tolbert;0.06;0.67;0.18;0.09
Sint Maheerdt;0.08;0.62;0.24;0.06
Buitengebied Tolbert;0.03;0.93;0.03;0.02
't Zandt;0.02;0.81;0.14;0.03
Bebouwde kom Midwolde;0.07;0.58;0.30;0.04
Pasop;0.00;0.99;0.00;0.00
Eempolder;0.01;0.92;0.02;0.05
